jahr,jahre_seit_reform,ueberlebensquote,bestandsschutz_zuschuss_mrd_euro,jaehrliche_abschmelzung_mrd_euro
2027,0,1.000000,97.858000,0.000000
2028,0,1.000000,97.858000,0.000000
2029,0,1.000000,97.858000,0.000000
2030,0,1.000000,97.858000,0.000000
2031,1,0.952393,93.199254,4.658746
2032,2,0.905130,88.574248,4.625005
2033,3,0.858306,83.992060,4.582188
2034,4,0.812035,79.464092,4.527968
2035,5,0.766451,75.003346,4.460746
2036,6,0.721704,70.624555,4.378791
2037,7,0.677932,66.341097,4.283458
2038,8,0.635261,62.165325,4.175772
2039,9,0.593799,58.108014,4.057311
2040,10,0.553615,54.175641,3.932373
2041,11,0.514764,50.373737,3.801904
2042,12,0.477259,46.703590,3.670147
2043,13,0.441107,43.165871,3.537719
2044,14,0.406297,39.759448,3.406423
2045,15,0.372815,36.482951,3.276497
2046,16,0.340665,33.336754,3.146197
2047,17,0.309855,30.321761,3.014993
2048,18,0.280420,27.441357,2.880404
2049,19,0.252405,24.699805,2.741552
2050,20,0.225881,22.104238,2.595567
2051,21,0.200929,19.662541,2.441697
2052,22,0.177647,17.384207,2.278333
2053,23,0.156137,15.279291,2.104916
2054,24,0.136483,13.355979,1.923312
2055,25,0.118741,11.619797,1.736182
2056,26,0.102931,10.072597,1.547200
2057,27,0.089032,8.712464,1.360133
2058,28,0.076981,7.533169,1.179295
2059,29,0.066666,6.523849,1.009320
2060,30,0.057939,5.669806,0.854044
2061,31,0.050623,4.953866,0.715940
2062,32,0.044529,4.357557,0.596309
2063,33,0.039471,3.862520,0.495037
2064,34,0.035273,3.451751,0.410769
2065,35,0.031772,3.109146,0.342605
2066,36,0.028829,2.821105,0.288041
2067,37,0.026327,2.576302,0.244803
2068,38,0.024178,2.365964,0.210338
2069,39,0.022313,2.183535,0.182429
2070,40,0.020682,2.023915,0.159620
