stichtag,rentenart_gruppe,rentenart_detail,system,geschlecht,alter_label,alter_von,alter_bis,anzahl_renten,quelle,notiz
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,unter 20,19,19,4,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,20 - 24,20,24,424,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,25 - 29,25,29,2616,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,30 - 34,30,34,7405,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,35 - 39,35,39,20183,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,40 - 44,40,44,43739,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,45 - 49,45,49,60414,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,50 - 54,50,54,97275,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,55 - 59,55,59,189268,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,maennlich,60 und älter,60,66,360565,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,unter 20,19,19,3,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,20 - 24,20,24,402,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,25 - 29,25,29,2946,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,30 - 34,30,34,9458,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,35 - 39,35,39,25014,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,40 - 44,40,44,51829,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,45 - 49,45,49,76976,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,50 - 54,50,54,128554,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,55 - 59,55,59,244059,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,erwerbsminderungsrente,erwerbsminderungsrente_insgesamt,rv_gesamt,weiblich,60 und älter,60,66,426268,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",Altersgruppe 60+ in v1 als 60-66 modelliert.
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,61,61,61,2383,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,62,62,62,13527,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,63,63,63,71733,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,64,64,64,186488,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,65,65,65,283591,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,66,66,66,468899,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,67,67,67,486570,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,68,68,68,469497,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,69,69,69,449345,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,70,70,70,432754,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,71,71,71,410649,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,72,72,72,403230,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,73,73,73,388869,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,74,74,74,381962,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,75,75,75,363181,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,76,76,76,327905,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,77,77,77,301379,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
2024-12-31,altersrente,altersrente_insgesamt,rv_gesamt,maennlich,78,78,78,256113,"DRV Statistikband Rente 2024, Rentenbestand am 31.12.2024",
