jahr,szenario,variante,ausgaben_mrd_euro,beitragsbasis_mrd_euro,zusatzbasis_mrd_euro,bundesmittel_mrd_euro,sonstige_einnahmen_mrd_euro,erforderlicher_beitragssatz,notiz
2027,jung,status_quo_bund_anteilig,431.952,1789.493,0.000,99.104,3.356,0.184126,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2027,jung,reform_ohne_erweiterte_basis,431.952,1789.493,0.000,99.104,3.356,0.184126,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2027,jung,reform_mit_erwerbstaetigenbasis,431.952,1789.493,0.000,99.104,3.356,0.184126,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2028,jung,status_quo_bund_anteilig,450.516,1825.074,0.000,103.363,3.440,0.188328,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2028,jung,reform_ohne_erweiterte_basis,450.516,1825.074,0.000,103.363,3.440,0.188328,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2028,jung,reform_mit_erwerbstaetigenbasis,450.516,1825.074,0.000,103.363,3.440,0.188328,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2029,jung,status_quo_bund_anteilig,469.781,1861.315,0.000,107.783,3.526,0.192591,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2029,jung,reform_ohne_erweiterte_basis,469.781,1861.315,0.000,107.783,3.526,0.192591,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2029,jung,reform_mit_erwerbstaetigenbasis,469.781,1861.315,0.000,107.783,3.526,0.192591,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2030,jung,status_quo_bund_anteilig,489.772,1898.227,0.000,112.370,3.614,0.196915,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2030,jung,reform_ohne_erweiterte_basis,489.772,1898.227,0.000,97.858,3.614,0.204560,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2030,jung,reform_mit_erwerbstaetigenbasis,489.772,1917.328,19.101,97.858,3.614,0.202522,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2031,jung,status_quo_bund_anteilig,510.515,1935.822,0.000,117.129,3.704,0.201300,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2031,jung,reform_ohne_erweiterte_basis,510.515,1935.822,0.000,93.199,3.704,0.213662,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2031,jung,reform_mit_erwerbstaetigenbasis,510.515,1974.780,38.958,93.199,3.704,0.209447,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2032,jung,status_quo_bund_anteilig,532.034,1974.110,0.000,122.066,3.797,0.205749,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2032,jung,reform_ohne_erweiterte_basis,532.034,1974.110,0.000,88.574,3.797,0.222715,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2032,jung,reform_mit_erwerbstaetigenbasis,532.034,2033.703,59.593,88.574,3.797,0.216189,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2033,jung,status_quo_bund_anteilig,554.359,2013.103,0.000,127.188,3.892,0.210262,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
