parameter,wert,quelle,notiz
fixed_contribution_rate,0.186,Status quo 2025/BMAS,Beitragssatz bleibt ueber den gesamten Projektionszeitraum unveraendert.
retirement_age_boundary,67+,Destatis-Altersabgrenzung,Renteneintrittsalter wird nicht angehoben; Lastseite bleibt Personen ab 67.
base_contributions_2025_mrd,321.552,DRV Finanzkennzahlen,Beitragseinnahmen 2025.
base_expenses_2025_mrd,426.521,DRV Finanzkennzahlen,Ausgaben gesamt 2025.
base_federal_2025_mrd,97.858,DRV Finanzkennzahlen,Bundesmittel werden in der Lueckenrechnung nominal konstant gehalten.
base_other_revenues_2025_mrd,3.194,DRV Finanzkennzahlen,Sonstige Einnahmen; Fortschreibung mit Lohnwachstum.
nominal_wage_growth,0.025,Arbeitsannahme wie Zukunftsmodell,Wachstum der Beitragsbasis pro Jahr vor Demographieeffekt.
rent_growth_to_2039,0.028,BMAS Rentenversicherungsbericht 2025,Plausibilisiert durch Rentenanstieg bis 2039.
rent_growth_after_2039,0.023,Arbeitsannahme wie Zukunftsmodell,Fortschreibung nach 2039.
expense_calibration_factor,0.9164269524121726058917220355,Modellkalibrierung,"Kalibriert moderate Variante 2027 auf 18,6 % bei 2025er Bundesmittelanteil."
