jahr,szenario,personen_20_66_mio,personen_67_plus_mio,ausgaben_mrd_euro,beitragsbasis_mrd_euro,fixer_beitragssatz,beitragseinnahmen_fix_mrd_euro,sonstige_einnahmen_mrd_euro,bundesmittel_basis_2025_mrd_euro,einnahmen_bei_fixem_beitrag_mrd_euro,finanzierungsluecke_mrd_euro,erforderliche_bundesmittel_mrd_euro,zusatz_bundesmittel_vs_2025_mrd_euro,aequivalenter_zusatzbeitragssatz_punkte,notiz
2027,jung,50.445,17.668,431.952,1789.493,0.186000,332.846,3.356,97.858,434.059,-2.108,95.750,-2.108,-0.118,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2028,jung,50.193,17.926,450.516,1825.074,0.186000,339.464,3.440,97.858,440.761,9.755,107.613,9.755,0.534,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2029,jung,49.941,18.183,469.781,1861.315,0.186000,346.205,3.526,97.858,447.588,22.193,120.051,22.193,1.192,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2030,jung,49.689,18.441,489.772,1898.227,0.186000,353.070,3.614,97.858,454.542,35.230,133.088,35.230,1.856,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2031,jung,49.437,18.698,510.515,1935.822,0.186000,360.063,3.704,97.858,461.625,48.890,146.748,48.890,2.526,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2032,jung,49.185,18.955,532.034,1974.110,0.186000,367.185,3.797,97.858,468.839,63.195,161.053,63.195,3.201,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2033,jung,48.934,19.213,554.359,2013.103,0.186000,374.437,3.892,97.858,476.187,78.172,176.030,78.172,3.883,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2034,jung,48.682,19.470,577.517,2052.812,0.186000,381.823,3.989,97.858,483.670,93.847,191.705,93.847,4.572,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2035,jung,48.430,19.728,601.537,2093.247,0.186000,389.344,4.089,97.858,491.291,110.246,208.104,110.246,5.267,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2036,jung,48.178,19.985,626.449,2134.422,0.186000,397.002,4.191,97.858,499.051,127.398,225.256,127.398,5.969,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2037,jung,47.926,20.243,652.285,2176.347,0.186000,404.801,4.296,97.858,506.954,145.331,243.189,145.331,6.678,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2038,jung,47.674,20.500,679.077,2219.034,0.186000,412.740,4.403,97.858,515.001,164.075,261.933,164.075,7.394,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2039,jung,47.600,20.488,697.665,2270.970,0.186000,422.400,4.513,97.858,524.771,172.894,270.752,172.894,7.613,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2040,jung,47.526,20.475,713.276,2324.116,0.186000,432.285,4.626,97.858,534.769,178.506,276.364,178.506,7.681,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
