jahr,szenario,korridor,beitragssatz_obergrenze,referenzausgaben_mrd_euro,beitragsbasis_status_quo_mrd_euro,zusatzbasis_erwerbstaetige_mrd_euro,beitragsbasis_reform_mrd_euro,beitragseinnahmen_mrd_euro,bestandsschutz_zuschuss_mrd_euro,sonstige_einnahmen_mrd_euro,leistbares_ausgabenvolumen_mrd_euro,finanzierungsluecke_vs_referenz_mrd_euro,leistungsfaktor_vs_referenz,notiz
2027,jung,ziel_20_prozent,0.200000,431.952,1789.493,0.000,1789.493,357.899,99.104,3.356,460.358,-28.407,1.065764,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2027,jung,stabil_22_prozent,0.220000,431.952,1789.493,0.000,1789.493,393.688,99.104,3.356,496.148,-64.197,1.148620,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2027,jung,obergrenze_24_prozent,0.240000,431.952,1789.493,0.000,1789.493,429.478,99.104,3.356,531.938,-99.986,1.231476,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,jung,ziel_20_prozent,0.200000,450.516,1825.074,0.000,1825.074,365.015,103.363,3.440,471.818,-21.302,1.047283,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,jung,stabil_22_prozent,0.220000,450.516,1825.074,0.000,1825.074,401.516,103.363,3.440,508.319,-57.803,1.128304,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,jung,obergrenze_24_prozent,0.240000,450.516,1825.074,0.000,1825.074,438.018,103.363,3.440,544.820,-94.305,1.209326,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,jung,ziel_20_prozent,0.200000,469.781,1861.315,0.000,1861.315,372.263,107.783,3.526,483.572,-13.791,1.029355,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,jung,stabil_22_prozent,0.220000,469.781,1861.315,0.000,1861.315,409.489,107.783,3.526,520.798,-51.017,1.108597,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,jung,obergrenze_24_prozent,0.240000,469.781,1861.315,0.000,1861.315,446.716,107.783,3.526,558.024,-88.243,1.187839,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,jung,ziel_20_prozent,0.200000,489.772,1898.227,19.649,1917.877,383.575,97.858,3.614,485.047,4.725,0.990352,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,jung,stabil_22_prozent,0.220000,489.772,1898.227,19.649,1917.877,421.933,97.858,3.614,523.405,-33.632,1.068669,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,jung,obergrenze_24_prozent,0.240000,489.772,1898.227,19.649,1917.877,460.290,97.858,3.614,561.762,-71.990,1.146986,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,jung,ziel_20_prozent,0.200000,510.515,1935.822,40.077,1975.899,395.180,93.199,3.704,492.083,18.431,0.963896,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,jung,stabil_22_prozent,0.220000,510.515,1935.822,40.077,1975.899,434.698,93.199,3.704,531.601,-21.087,1.041304,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,jung,obergrenze_24_prozent,0.240000,510.515,1935.822,40.077,1975.899,474.216,93.199,3.704,571.119,-60.605,1.118713,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,jung,ziel_20_prozent,0.200000,532.034,1974.110,61.305,2035.415,407.083,88.574,3.797,499.454,32.581,0.938762,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,jung,stabil_22_prozent,0.220000,532.034,1974.110,61.305,2035.415,447.791,88.574,3.797,540.162,-8.128,1.015277,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,jung,obergrenze_24_prozent,0.240000,532.034,1974.110,61.305,2035.415,488.500,88.574,3.797,580.871,-48.836,1.091791,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2033,jung,ziel_20_prozent,0.200000,554.359,2013.103,83.354,2096.457,419.291,83.992,3.892,507.175,47.184,0.914885,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2033,jung,stabil_22_prozent,0.220000,554.359,2013.103,83.354,2096.457,461.221,83.992,3.892,549.104,5.255,0.990521,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
