jahr,demographie_szenario,rentenalter_szenario,regelaltersgrenze,alter,synthetische_kohorte_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbsquote,effektive_beitragszahler_mio,zusatz_beitragsbasis_mrd_euro
2027,jung,status_quo_67,67.000,67,0.993,0.000,0.000,0.200,0.000,0.000
2027,jung,status_quo_67,67.000,68,0.993,0.000,0.000,0.140,0.000,0.000
2027,jung,status_quo_67,67.000,69,0.993,0.000,0.000,0.100,0.000,0.000
2027,jung,status_quo_67,67.000,70,0.993,0.000,0.000,0.070,0.000,0.000
2027,jung,status_quo_67,67.000,71,0.993,0.000,0.000,0.050,0.000,0.000
2027,jung,status_quo_67,67.000,72,0.993,0.000,0.000,0.040,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,67,0.993,0.000,0.000,0.200,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,68,0.993,0.000,0.000,0.140,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,69,0.993,0.000,0.000,0.100,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,70,0.993,0.000,0.000,0.070,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,71,0.993,0.000,0.000,0.050,0.000,0.000
2027,jung,lebenserwartung_gekoppelt_2zu1,67.000,72,0.993,0.000,0.000,0.040,0.000,0.000
2027,jung,daenemarknah,67.000,67,0.993,0.000,0.000,0.200,0.000,0.000
2027,jung,daenemarknah,67.000,68,0.993,0.000,0.000,0.140,0.000,0.000
2027,jung,daenemarknah,67.000,69,0.993,0.000,0.000,0.100,0.000,0.000
2027,jung,daenemarknah,67.000,70,0.993,0.000,0.000,0.070,0.000,0.000
2027,jung,daenemarknah,67.000,71,0.993,0.000,0.000,0.050,0.000,0.000
2027,jung,daenemarknah,67.000,72,0.993,0.000,0.000,0.040,0.000,0.000
2028,jung,status_quo_67,67.000,67,1.008,0.000,0.000,0.200,0.000,0.000
2028,jung,status_quo_67,67.000,68,1.008,0.000,0.000,0.140,0.000,0.000
2028,jung,status_quo_67,67.000,69,1.008,0.000,0.000,0.100,0.000,0.000
2028,jung,status_quo_67,67.000,70,1.008,0.000,0.000,0.070,0.000,0.000
2028,jung,status_quo_67,67.000,71,1.008,0.000,0.000,0.050,0.000,0.000
2028,jung,status_quo_67,67.000,72,1.008,0.000,0.000,0.040,0.000,0.000
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,67,1.008,0.125,0.126,0.200,0.021,0.785
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,68,1.008,0.000,0.000,0.140,0.000,0.000
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,69,1.008,0.000,0.000,0.100,0.000,0.000
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,70,1.008,0.000,0.000,0.070,0.000,0.000
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,71,1.008,0.000,0.000,0.050,0.000,0.000
2028,jung,lebenserwartung_gekoppelt_2zu1,67.125,72,1.008,0.000,0.000,0.040,0.000,0.000
2028,jung,daenemarknah,67.333,67,1.008,0.333,0.336,0.200,0.057,2.093
2028,jung,daenemarknah,67.333,68,1.008,0.000,0.000,0.140,0.000,0.000
2028,jung,daenemarknah,67.333,69,1.008,0.000,0.000,0.100,0.000,0.000
2028,jung,daenemarknah,67.333,70,1.008,0.000,0.000,0.070,0.000,0.000
2028,jung,daenemarknah,67.333,71,1.008,0.000,0.000,0.050,0.000,0.000
2028,jung,daenemarknah,67.333,72,1.008,0.000,0.000,0.040,0.000,0.000
2029,jung,status_quo_67,67.000,67,1.022,0.000,0.000,0.200,0.000,0.000
2029,jung,status_quo_67,67.000,68,1.022,0.000,0.000,0.140,0.000,0.000
2029,jung,status_quo_67,67.000,69,1.022,0.000,0.000,0.100,0.000,0.000
2029,jung,status_quo_67,67.000,70,1.022,0.000,0.000,0.070,0.000,0.000
2029,jung,status_quo_67,67.000,71,1.022,0.000,0.000,0.050,0.000,0.000
2029,jung,status_quo_67,67.000,72,1.022,0.000,0.000,0.040,0.000,0.000
2029,jung,lebenserwartung_gekoppelt_2zu1,67.250,67,1.022,0.250,0.256,0.200,0.043,1.645
