jahr,kategorie,zahlungspflichtiger,brutto_ausweis_mrd_euro,bereits_in_drv_finanzierung_mrd_euro,modellierter_netto_zusatzeffekt_mrd_euro,zahlungsstatus,doppelfrei_notiz
2027,kindererziehungszeiten,Bund,20.117,20.117,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2027,pflegezeiten,Pflegeversicherung,5.917,5.917,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2027,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,5.972,5.972,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2027,versorgungsdienststellen,Versorgungsdienststellen,1.416,1.416,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2028,kindererziehungszeiten,Bund,20.620,20.620,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2028,pflegezeiten,Pflegeversicherung,6.065,6.065,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2028,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.121,6.121,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2028,versorgungsdienststellen,Versorgungsdienststellen,1.451,1.451,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2029,kindererziehungszeiten,Bund,21.135,21.135,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2029,pflegezeiten,Pflegeversicherung,6.217,6.217,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2029,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.274,6.274,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2029,versorgungsdienststellen,Versorgungsdienststellen,1.488,1.488,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2030,kindererziehungszeiten,Bund,21.664,21.664,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2030,pflegezeiten,Pflegeversicherung,6.372,6.372,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2030,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.431,6.431,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2030,versorgungsdienststellen,Versorgungsdienststellen,1.525,1.525,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2031,kindererziehungszeiten,Bund,22.205,22.205,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2031,pflegezeiten,Pflegeversicherung,6.531,6.531,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2031,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.592,6.592,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2031,versorgungsdienststellen,Versorgungsdienststellen,1.563,1.563,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2032,kindererziehungszeiten,Bund,22.760,22.760,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2032,pflegezeiten,Pflegeversicherung,6.695,6.695,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2032,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.757,6.757,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2032,versorgungsdienststellen,Versorgungsdienststellen,1.602,1.602,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2033,kindererziehungszeiten,Bund,23.329,23.329,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2033,pflegezeiten,Pflegeversicherung,6.862,6.862,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2033,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.926,6.926,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2033,versorgungsdienststellen,Versorgungsdienststellen,1.642,1.642,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2034,kindererziehungszeiten,Bund,23.912,23.912,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2034,pflegezeiten,Pflegeversicherung,7.034,7.034,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2034,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,7.099,7.099,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2034,versorgungsdienststellen,Versorgungsdienststellen,1.683,1.683,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
