jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2027,kindererziehungszeiten,Bund,20.117,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2027,pflegezeiten,Pflegeversicherung,5.917,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2027,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,5.972,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2027,versorgungsdienststellen,Versorgungsdienststellen,1.416,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2028,kindererziehungszeiten,Bund,20.620,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2028,pflegezeiten,Pflegeversicherung,6.065,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2028,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.121,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2028,versorgungsdienststellen,Versorgungsdienststellen,1.451,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2029,kindererziehungszeiten,Bund,21.135,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2029,pflegezeiten,Pflegeversicherung,6.217,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2029,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.274,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2029,versorgungsdienststellen,Versorgungsdienststellen,1.488,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2030,kindererziehungszeiten,Bund,21.664,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2030,pflegezeiten,Pflegeversicherung,6.372,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2030,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.431,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2030,versorgungsdienststellen,Versorgungsdienststellen,1.525,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2031,kindererziehungszeiten,Bund,22.205,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2031,pflegezeiten,Pflegeversicherung,6.531,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2031,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.592,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2031,versorgungsdienststellen,Versorgungsdienststellen,1.563,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2032,kindererziehungszeiten,Bund,22.760,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2032,pflegezeiten,Pflegeversicherung,6.695,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2032,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,6.757,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
