jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,alter,bevoelkerung_altersjahr_mio,nicht_in_rente_anteil,nicht_in_rente_mio,erwerbstaetigenquote_65plus,effektive_beitragszahler_mio
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,67,2.403,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,68,2.424,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,69,2.448,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,70,2.409,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,71,2.411,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,72,2.346,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,67,2.403,1.000,2.403,0.102131,0.209
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,68,2.424,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,69,2.448,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,70,2.409,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,71,2.411,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,72,2.346,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,67,2.403,1.000,2.403,0.102131,0.209
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,68,2.424,1.000,2.424,0.102131,0.210
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,69,2.448,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,70,2.409,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,71,2.411,0.000,0.000,0.102131,0.000
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,72,2.346,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,67,1.904,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,68,2.068,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,69,2.108,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,70,2.220,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,71,2.277,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,72,2.285,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,67,1.904,1.000,1.904,0.102131,0.165
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,68,2.068,0.400,0.827,0.102131,0.072
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,69,2.108,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,70,2.220,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,71,2.277,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,72,2.285,0.000,0.000,0.102131,0.000
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,67,1.904,1.000,1.904,0.102131,0.165
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,68,2.068,1.000,2.068,0.102131,0.180
