jahr,destatis_variante,destatis_variante_label,rentenalter_szenario,regelaltersgrenze,nicht_in_rente_mio,effektive_beitragszahler_mio,erwerbstaetigenquote_65plus,erwerbspersonenquote_65plus,notiz
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.000,2.403,0.209,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2035,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.000,4.826,0.419,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,68.400,2.731,0.237,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2039,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,69.800,5.658,0.491,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,69.500,5.044,0.438,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2050,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",daenemarknah,70.667,7.334,0.637,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",status_quo_67,67.000,0.000,0.000,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
2070,moderat_g2l2w2,"Geburtenrate, Lebenserwartung und Wanderungssaldo moderat",lebenserwartung_2zu1,71.500,8.459,0.734,0.102131,0.103816,Altersjahrgaenge aus GENESIS; Erwerbstaetigenquote fuer 65+ aus Mikrozensus 2025 als Brueckenparameter.
