geschlecht;alter_label;rentenart;anzahl;durchschnittlicher_rentenzahlbetrag_eur
insgesamt;67;Insgesamt;10101;653,02
insgesamt;67;Regelaltersrenten;10003;647,04
insgesamt;67;Altersrenten_fuer_besonders_langjaehrig_Versicherte;25;1.818,51
insgesamt;67;Altersrenten_fuer_langjaehrig_Versicherte;71;1.062,76
insgesamt;67;Altersrenten_fuer_schwerbehinderte_Menschen;2;1.453,78
insgesamt;68;Insgesamt;4241;681,43
insgesamt;68;Regelaltersrenten;4203;677,98
insgesamt;68;Altersrenten_fuer_besonders_langjaehrig_Versicherte;11;1.637,58
insgesamt;68;Altersrenten_fuer_langjaehrig_Versicherte;27;827,72
insgesamt;69;Insgesamt;2503;632,08
insgesamt;69;Regelaltersrenten;2477;627,21
insgesamt;69;Altersrenten_fuer_besonders_langjaehrig_Versicherte;2;3.440,37
insgesamt;69;Altersrenten_fuer_langjaehrig_Versicherte;20;834,77
insgesamt;69;Altersrenten_fuer_schwerbehinderte_Menschen;3;1.571,73
insgesamt;70_und_aelter;Insgesamt;7305;471,33
insgesamt;70_und_aelter;Regelaltersrenten;7256;467,02
insgesamt;70_und_aelter;Altersrenten_fuer_besonders_langjaehrig_Versicherte;10;1.258,19
insgesamt;70_und_aelter;Altersrenten_fuer_langjaehrig_Versicherte;38;1.089,34
insgesamt;70_und_aelter;Altersrenten_fuer_schwerbehinderte_Menschen;1;377,84
maenner;67;Insgesamt;6011;710,17
maenner;67;Regelaltersrenten;5952;703,46
maenner;67;Altersrenten_fuer_besonders_langjaehrig_Versicherte;15;1.815,30
maenner;67;Altersrenten_fuer_langjaehrig_Versicherte;42;1.230,95
maenner;67;Altersrenten_fuer_schwerbehinderte_Menschen;2;1.453,78
maenner;68;Insgesamt;2514;746,36
maenner;68;Regelaltersrenten;2490;741,17
maenner;68;Altersrenten_fuer_besonders_langjaehrig_Versicherte;9;1.739,53
maenner;68;Altersrenten_fuer_langjaehrig_Versicherte;15;1.011,51
maenner;69;Insgesamt;1439;701,85
maenner;69;Regelaltersrenten;1421;694,08
maenner;69;Altersrenten_fuer_besonders_langjaehrig_Versicherte;2;3.440,37
maenner;69;Altersrenten_fuer_langjaehrig_Versicherte;13;928,67
maenner;69;Altersrenten_fuer_schwerbehinderte_Menschen;3;1.571,73
maenner;70_und_aelter;Insgesamt;2565;641,68
maenner;70_und_aelter;Regelaltersrenten;2534;635,11
maenner;70_und_aelter;Altersrenten_fuer_besonders_langjaehrig_Versicherte;6;943,78
maenner;70_und_aelter;Altersrenten_fuer_langjaehrig_Versicherte;24;1.270,46
maenner;70_und_aelter;Altersrenten_fuer_schwerbehinderte_Menschen;1;377,84
frauen;67;Insgesamt;4090;569,02
frauen;67;Regelaltersrenten;4051;564,13
frauen;67;Altersrenten_fuer_besonders_langjaehrig_Versicherte;10;1.823,33
frauen;67;Altersrenten_fuer_langjaehrig_Versicherte;29;819,18
frauen;68;Insgesamt;1727;586,91
frauen;68;Regelaltersrenten;1713;586,14
frauen;68;Altersrenten_fuer_besonders_langjaehrig_Versicherte;2;1.178,79
frauen;68;Altersrenten_fuer_langjaehrig_Versicherte;12;597,97
frauen;69;Insgesamt;1064;537,71
frauen;69;Regelaltersrenten;1056;537,21
frauen;69;Altersrenten_fuer_langjaehrig_Versicherte;7;660,37
frauen;69;Altersrenten_fuer_Frauen;1;203,22
frauen;70_und_aelter;Insgesamt;4740;379,14
frauen;70_und_aelter;Regelaltersrenten;4722;376,81
frauen;70_und_aelter;Altersrenten_fuer_besonders_langjaehrig_Versicherte;4;1.729,82
frauen;70_und_aelter;Altersrenten_fuer_langjaehrig_Versicherte;14;778,85
