Alter;Rentenart;Zugaenge_Absolut;Anteil_Prozent;Durchschnitt_Abschlag_Prozent;Geschaetzte_Rentensumme_Mio_EUR
67;Altersrente;12450;48.2;4.8;48.2
67;Rente_besonders_langjaehrig;8920;34.5;0.0;52.1
67;Rente_schwerbehindert;3120;12.1;2.3;11.4
67;Erwerbsminderung;1340;5.2;0.0;4.9
68;Altersrente;9870;42.1;5.1;39.8
68;Rente_besonders_langjaehrig;7210;30.7;0.0;43.2
68;Rente_schwerbehindert;2890;12.3;2.4;10.8
68;Erwerbsminderung;3480;14.9;0.0;12.9
69;Altersrente;7650;35.4;5.3;31.5
69;Rente_besonders_langjaehrig;5890;27.3;0.0;35.8
69;Rente_schwerbehindert;2450;11.4;2.5;9.3
69;Erwerbsminderung;5580;25.9;0.0;21.2
70;Altersrente;6120;29.8;5.6;25.8
70;Rente_besonders_langjaehrig;4780;23.3;0.0;29.4
70;Rente_schwerbehindert;1980;9.6;2.6;7.7
70;Erwerbsminderung;7690;37.3;0.0;29.8
71;Altersrente;4890;24.1;5.8;21.2
71;Rente_besonders_langjaehrig;3920;19.3;0.0;24.5
71;Rente_schwerbehindert;1670;8.2;2.7;6.6
71;Erwerbsminderung;9810;48.4;0.0;38.9
72;Altersrente;4120;20.5;6.1;18.4
72;Rente_besonders_langjaehrig;3210;16.0;0.0;20.6
72;Rente_schwerbehindert;1420;7.1;2.8;5.7
72;Erwerbsminderung;11350;56.4;0.0;45.8
