Alter;Rentenart;Zugaenge;Anteil_Prozent;Durchschnitt_Abschlag;Durchschnitt_Rente_EUR
67;Altersrente;12450;48.2;4.8;1245
67;Rente_besonders_langjaehrig;8920;34.5;0.0;1380
67;Rente_schwerbehindert;3120;12.1;2.3;1120
67;Erwerbsminderung;1340;5.2;0.0;980
68;Altersrente;9870;42.1;5.1;1190
68;Rente_besonders_langjaehrig;7210;30.7;0.0;1320
68;Rente_schwerbehindert;2890;12.3;2.4;1070
68;Erwerbsminderung;3480;14.9;0.0;950
69;Altersrente;7650;35.4;5.3;1140
69;Rente_besonders_langjaehrig;5890;27.3;0.0;1260
69;Rente_schwerbehindert;2450;11.4;2.5;1020
69;Erwerbsminderung;5580;25.9;0.0;920
70;Altersrente;6120;29.8;5.6;1090
70;Rente_besonders_langjaehrig;4780;23.3;0.0;1210
70;Rente_schwerbehindert;1980;9.6;2.6;980
70;Erwerbsminderung;7690;37.3;0.0;890
71;Altersrente;4890;24.1;5.8;1040
71;Rente_besonders_langjaehrig;3920;19.3;0.0;1150
71;Rente_schwerbehindert;1670;8.2;2.7;940
71;Erwerbsminderung;9810;48.4;0.0;860
72;Altersrente;4120;20.5;6.1;990
72;Rente_besonders_langjaehrig;3210;16.0;0.0;1100
72;Rente_schwerbehindert;1420;7.1;2.8;900
72;Erwerbsminderung;11350;56.4;0.0;830
