Alter;Rentenart;Anzahl_Zugaenge;Anteil_Prozent;Durchschnittlicher_Abschlag_Prozent
67;Altersrente;12450;48.2;4.8
67;Rente für besonders langjährig Versicherte;8920;34.5;0.0
67;Rente für schwerbehinderte Menschen;3120;12.1;2.3
67;Erwerbsminderungsrente;1340;5.2;-
68;Altersrente;9870;42.1;5.1
68;Rente für besonders langjährig Versicherte;7210;30.7;0.0
68;Rente für schwerbehinderte Menschen;2890;12.3;2.4
68;Erwerbsminderungsrente;3480;14.9;-
69;Altersrente;7650;35.4;5.3
69;Rente für besonders langjährig Versicherte;5890;27.3;0.0
69;Rente für schwerbehinderte Menschen;2450;11.4;2.5
69;Erwerbsminderungsrente;5580;25.9;-
70;Altersrente;6120;29.8;5.6
70;Rente für besonders langjährig Versicherte;4780;23.3;0.0
70;Rente für schwerbehinderte Menschen;1980;9.6;2.6
70;Erwerbsminderungsrente;7690;37.3;-
71;Altersrente;4890;24.1;5.8
71;Rente für besonders langjährig Versicherte;3920;19.3;0.0
71;Rente für schwerbehinderte Männer;1670;8.2;2.7
71;Erwerbsminderungsrente;9810;48.4;-
72;Altersrente;4120;20.5;6.1
72;Rente für besonders langjährig Versicherte;3210;16.0;0.0
72;Rente für schwerbehinderte Menschen;1420;7.1;2.8
72;Erwerbsminderungsrente;11350;56.4;-
