jahr,jahre_seit_reform,ueberlebensquote,bestandsschutz_zuschuss_mrd_euro,jaehrliche_abschmelzung_mrd_euro
2027,0,1.000000,97.858000,0.000000
2028,1,0.917114,89.746963,8.111037
2029,2,0.850557,83.233821,6.513142
2030,3,0.794226,77.721390,5.512431
2031,4,0.744349,72.840514,4.880877
2032,5,0.698635,68.366986,4.473528
2033,6,0.655589,64.154677,4.212309
2034,7,0.614251,60.109357,4.045320
2035,8,0.573957,56.166302,3.943055
2036,9,0.534241,52.279759,3.886543
2037,10,0.494890,48.428958,3.850802
2038,11,0.455770,44.600782,3.828176
2039,12,0.416916,40.798568,3.802214
2040,13,0.378416,37.031022,3.767546
2041,14,0.340489,33.319561,3.711461
2042,15,0.303440,29.694068,3.625493
2043,16,0.267563,26.183190,3.510878
2044,17,0.233204,22.820879,3.362312
2045,18,0.200657,19.635871,3.185008
2046,19,0.170251,16.660446,2.975425
2047,20,0.142239,13.919273,2.741173
2048,21,0.116860,11.435645,2.483628
2049,22,0.093876,9.186478,2.249167
2050,23,0.073942,7.235768,1.950710
2051,24,0.056975,5.575451,1.660317
2052,25,0.042832,4.191480,1.383971
2053,26,0.031337,3.066600,1.124879
2054,27,0.022252,2.177505,0.889095
2055,28,0.015261,1.493457,0.684048
2056,29,0.010041,0.982633,0.510825
2057,30,0.006268,0.613334,0.369298
2058,31,0.003634,0.355572,0.257762
2059,32,0.001861,0.182157,0.173415
2060,33,0.000718,0.070237,0.111920
2061,34,0.000000,0.000000,0.070237
2062,35,0.000000,0.000000,0.000000
2063,36,0.000000,0.000000,0.000000
2064,37,0.000000,0.000000,0.000000
2065,38,0.000000,0.000000,0.000000
2066,39,0.000000,0.000000,0.000000
2067,40,0.000000,0.000000,0.000000
2068,41,0.000000,0.000000,0.000000
2069,42,0.000000,0.000000,0.000000
2070,43,0.000000,0.000000,0.000000
