parameter,wert,quelle,notiz
base_contribution_rate_2025,0.186,DRV/BMAS,Beitragssatz allgemeine RV
base_contributions_2025_mrd,321.552,DRV Finanzkennzahlen,Beitragseinnahmen 2025
base_expenses_2025_mrd,426.521,DRV Finanzkennzahlen,Ausgaben gesamt 2025
base_federal_2025_mrd,97.858,DRV Finanzkennzahlen,Bundesmittel 2025
base_other_revenues_2025_mrd,3.194,DRV Finanzkennzahlen,"Erstattungen, Vermögenserträge, sonstige Einnahmen"
nominal_wage_growth,0.025,Arbeitsannahme,Lohn-/Beitragsbasiswachstum p.a.
rent_growth_to_2039,0.028,BMAS Rentenversicherungsbericht 2025,Plausibilisiert durch gut 45 % Rentenanstieg bis 2039
rent_growth_after_2039,0.023,Arbeitsannahme,Fortschreibung nach 2039
status_quo_2027_rate_target,0.186,BMAS Rentenversicherungsbericht 2025,"Kalibrierung: Beitragssatz bleibt bis 2027 bei 18,6 %"
expense_calibration_factor,0.9164269524121726058917220355,Modellkalibrierung,Skaliert Ausgabenpfad auf moderates Status-quo-Szenario 2027
self_employed_2025_mio,3.666,Destatis Arbeitsmarkt-Eckzahlen,Selbstständige inkl. mithelfende Familienangehörige
social_insured_employees_2025_mio,34.885,Destatis Arbeitsmarkt-Eckzahlen,Sozialversicherungspflichtig Beschäftigte
public_service_exempt_2024_mio,1.9557,Destatis öffentlicher Dienst,Beamte/Richter plus Berufs-/Zeitsoldaten
self_employed_effective_coverage,0.75,Arbeitsannahme,Bis 2035 effektiv einbezogener Selbstständigenanteil
self_employed_income_factor,0.70,Arbeitsannahme,Bemessungsbasis relativ zu SV-Beschäftigten
public_service_income_factor,1.10,Arbeitsannahme,Bemessungsbasis relativ zu SV-Beschäftigten
