jahr,szenario,variante,ausgaben_mrd_euro,beitragsbasis_mrd_euro,zusatzbasis_mrd_euro,bundesmittel_mrd_euro,sonstige_einnahmen_mrd_euro,erforderlicher_beitragssatz,notiz
2027,jung,status_quo_bund_anteilig,431.952,1789.493,0.000,99.104,3.356,0.184126,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2027,jung,reform_ohne_erweiterte_basis,431.952,1789.493,0.000,97.858,3.356,0.184822,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2027,jung,reform_mit_erwerbstaetigenbasis,431.952,1789.493,0.000,97.858,3.356,0.184822,Bestandsschutz schmilzt; Selbstständige und Neuzugänge öffentlicher Dienst erhöhen Beitragsbasis.
2028,jung,status_quo_bund_anteilig,450.516,1825.074,0.000,103.363,3.440,0.188328,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2028,jung,reform_ohne_erweiterte_basis,450.516,1825.074,0.000,93.199,3.440,0.193897,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2028,jung,reform_mit_erwerbstaetigenbasis,450.516,1839.536,14.462,93.199,3.440,0.192373,Bestandsschutz schmilzt; Selbstständige und Neuzugänge öffentlicher Dienst erhöhen Beitragsbasis.
2029,jung,status_quo_bund_anteilig,469.781,1861.315,0.000,107.783,3.526,0.192591,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2029,jung,reform_ohne_erweiterte_basis,469.781,1861.315,0.000,88.574,3.526,0.202911,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2029,jung,reform_mit_erwerbstaetigenbasis,469.781,1890.814,29.499,88.574,3.526,0.199746,Bestandsschutz schmilzt; Selbstständige und Neuzugänge öffentlicher Dienst erhöhen Beitragsbasis.
2030,jung,status_quo_bund_anteilig,489.772,1898.227,0.000,112.370,3.614,0.196915,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2030,jung,reform_ohne_erweiterte_basis,489.772,1898.227,0.000,83.992,3.614,0.211864,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2030,jung,reform_mit_erwerbstaetigenbasis,489.772,1943.353,45.126,83.992,3.614,0.206945,Bestandsschutz schmilzt; Selbstständige und Neuzugänge öffentlicher Dienst erhöhen Beitragsbasis.
2031,jung,status_quo_bund_anteilig,510.515,1935.822,0.000,117.129,3.704,0.201300,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2031,jung,reform_ohne_erweiterte_basis,510.515,1935.822,0.000,79.464,3.704,0.220757,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
